gene,CPTAC_Mutations,CPTAC_Silenced,CPTAC_Expressed,CPTAC_Percent,AURORA_Mutations,AURORA_Silenced,AURORA_Expressed,AURORA_Percent,Mean_Pct,Diff,Total_Muts
ANKRD11,6,0,6,0.0,8,0,8,0.0,0.0,0.0,14
SH3TC1,3,0,3,0.0,11,0,11,0.0,0.0,0.0,14
KDM5C,5,0,5,0.0,9,0,9,0.0,0.0,0.0,14
ARHGAP35,5,0,5,0.0,9,0,9,0.0,0.0,0.0,14
NUMA1,5,0,5,0.0,9,0,9,0.0,0.0,0.0,14
IKBKE,3,0,3,0.0,11,0,11,0.0,0.0,0.0,14
MORC2,3,0,3,0.0,11,0,11,0.0,0.0,0.0,14
ACTN4,4,0,4,0.0,9,0,9,0.0,0.0,0.0,13
AP2A2,4,0,4,0.0,9,0,9,0.0,0.0,0.0,13
SON,3,0,3,0.0,10,0,10,0.0,0.0,0.0,13
SCMH1,3,0,3,0.0,10,0,10,0.0,0.0,0.0,13
NES,4,0,4,0.0,9,0,9,0.0,0.0,0.0,13
ROCK1,6,0,6,0.0,7,0,7,0.0,0.0,0.0,13
TOR1AIP1,4,0,4,0.0,9,0,9,0.0,0.0,0.0,13
TTLL4,3,0,3,0.0,10,0,10,0.0,0.0,0.0,13
BCOR,3,0,3,0.0,10,0,10,0.0,0.0,0.0,13
SEC16A,4,0,4,0.0,9,0,9,0.0,0.0,0.0,13
GRB7,3,0,3,0.0,10,0,10,0.0,0.0,0.0,13
CUL4B,5,0,5,0.0,8,0,8,0.0,0.0,0.0,13
CEP120,5,0,5,0.0,8,0,8,0.0,0.0,0.0,13
BCL9L,3,0,3,0.0,10,0,10,0.0,0.0,0.0,13
EHBP1,4,0,4,0.0,9,0,9,0.0,0.0,0.0,13
FAM120C,3,0,3,0.0,9,0,9,0.0,0.0,0.0,12
RSAD1,3,0,3,0.0,9,0,9,0.0,0.0,0.0,12
PELP1,4,0,4,0.0,8,0,8,0.0,0.0,0.0,12
SUZ12,3,0,3,0.0,9,0,9,0.0,0.0,0.0,12
WDTC1,4,0,4,0.0,8,0,8,0.0,0.0,0.0,12
B4GALNT4,4,0,4,0.0,8,0,8,0.0,0.0,0.0,12
RB1CC1,3,0,3,0.0,9,0,9,0.0,0.0,0.0,12
DDX50,3,0,3,0.0,9,0,9,0.0,0.0,0.0,12
SSRP1,4,0,4,0.0,8,0,8,0.0,0.0,0.0,12
GOLGA3,3,0,3,0.0,9,0,9,0.0,0.0,0.0,12
CASD1,3,0,3,0.0,9,0,9,0.0,0.0,0.0,12
ERBB2,3,0,3,0.0,9,0,9,0.0,0.0,0.0,12
TMEM214,3,0,3,0.0,9,0,9,0.0,0.0,0.0,12
MRC2,3,0,3,0.0,9,0,9,0.0,0.0,0.0,12
SP3,4,0,4,0.0,8,0,8,0.0,0.0,0.0,12
LRIG1,3,0,3,0.0,9,0,9,0.0,0.0,0.0,12
WDR26,3,0,3,0.0,9,0,9,0.0,0.0,0.0,12
MRPS27,3,0,3,0.0,9,0,9,0.0,0.0,0.0,12
ADAM19,4,0,4,0.0,8,0,8,0.0,0.0,0.0,12
NID2,3,0,3,0.0,9,0,9,0.0,0.0,0.0,12
DDX42,6,0,6,0.0,5,0,5,0.0,0.0,0.0,11
CDK12,5,0,5,0.0,6,0,6,0.0,0.0,0.0,11
ZNF496,4,0,4,0.0,7,0,7,0.0,0.0,0.0,11
GALNS,3,0,3,0.0,8,0,8,0.0,0.0,0.0,11
GPRASP2,3,0,3,0.0,8,0,8,0.0,0.0,0.0,11
KIFC2,3,0,3,0.0,8,0,8,0.0,0.0,0.0,11
USP21,3,0,3,0.0,8,0,8,0.0,0.0,0.0,11
KIAA0319L,3,0,3,0.0,8,0,8,0.0,0.0,0.0,11
STAG2,3,0,3,0.0,8,0,8,0.0,0.0,0.0,11
TBC1D1,3,0,3,0.0,8,0,8,0.0,0.0,0.0,11
IWS1,4,0,4,0.0,7,0,7,0.0,0.0,0.0,11
MTMR11,3,0,3,0.0,8,0,8,0.0,0.0,0.0,11
PLEKHM2,3,0,3,0.0,8,0,8,0.0,0.0,0.0,11
NEURL1B,4,0,4,0.0,7,0,7,0.0,0.0,0.0,11
CIC,3,0,3,0.0,7,0,7,0.0,0.0,0.0,10
ASAP2,3,0,3,0.0,7,0,7,0.0,0.0,0.0,10
TFDP1,4,0,4,0.0,6,0,6,0.0,0.0,0.0,10
AGO1,3,0,3,0.0,7,0,7,0.0,0.0,0.0,10
TRIM24,3,0,3,0.0,7,0,7,0.0,0.0,0.0,10
NMD3,3,0,3,0.0,7,0,7,0.0,0.0,0.0,10
RNF31,4,0,4,0.0,6,0,6,0.0,0.0,0.0,10
MEN1,4,0,4,0.0,6,0,6,0.0,0.0,0.0,10
MCM6,3,0,3,0.0,7,0,7,0.0,0.0,0.0,10
PIGG,3,0,3,0.0,7,0,7,0.0,0.0,0.0,10
EVPL,4,0,4,0.0,6,0,6,0.0,0.0,0.0,10
NOL6,3,0,3,0.0,7,0,7,0.0,0.0,0.0,10
SF3B1,3,0,3,0.0,7,0,7,0.0,0.0,0.0,10
PPL,3,0,3,0.0,7,0,7,0.0,0.0,0.0,10
PLXND1,3,0,3,0.0,7,0,7,0.0,0.0,0.0,10
CRIM1,3,0,3,0.0,7,0,7,0.0,0.0,0.0,10
