Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Splice_Site,Translation_Start_Site,Total_Silenced
TMEM151A,0,0,0,0,2,0,0,0,0,2
TMEM233,0,0,0,0,2,0,0,0,0,2
CADM3,0,0,0,0,2,0,0,0,0,2
CADPS,0,0,0,0,2,0,0,0,0,2
CALR3,0,0,0,0,2,0,0,0,0,2
RASGRF2,0,0,0,0,1,1,0,0,0,2
RBM11,0,0,0,0,2,0,0,0,0,2
RBM46,0,0,0,0,2,0,0,0,0,2
RD3,0,0,0,0,1,1,0,0,0,2
RFTN2,0,0,0,0,2,0,0,0,0,2
RGN,0,1,0,0,1,0,0,0,0,2
CACNA1F,0,0,0,0,2,0,0,0,0,2
CACNA1H,0,0,0,0,2,0,0,0,0,2
RGS9,0,0,0,0,2,0,0,0,0,2
RIMBP2,0,0,0,0,2,0,0,0,0,2
RLTPR,0,0,0,0,1,1,0,0,0,2
RND2,0,0,0,0,2,0,0,0,0,2
ROR1,0,0,0,0,2,0,0,0,0,2
PTPRQ,0,0,0,0,2,0,0,0,0,2
PTPRR,0,0,0,0,1,1,0,0,0,2
PTX4,0,0,0,0,2,0,0,0,0,2
TNRC6B,0,0,0,0,2,0,0,0,0,2
TPH1,0,0,1,0,1,0,0,0,0,2
TPO,0,0,0,0,2,0,0,0,0,2
ANKRD6,0,0,0,0,2,0,0,0,0,2
ANO2,0,0,0,0,2,0,0,0,0,2
ANO4,1,0,0,0,1,0,0,0,0,2
TRHDE,0,0,0,0,2,0,0,0,0,2
TRIM17,0,0,0,0,2,0,0,0,0,2
TRIM68,0,0,0,0,2,0,0,0,0,2
SALL2,0,0,0,0,2,0,0,0,0,2
SALL3,0,0,0,0,2,0,0,0,0,2
QRICH2,0,0,0,0,2,0,0,0,0,2
RAB11FIP4,0,0,0,0,2,0,0,0,0,2
ANK1,0,0,0,0,1,0,0,1,0,2
ANKAR,0,0,0,0,2,0,0,0,0,2
ANKLE1,0,0,0,0,2,0,0,0,0,2
TSHZ1,0,0,0,0,2,0,0,0,0,2
TTC24,0,0,0,0,2,0,0,0,0,2
PRKG2,0,0,0,0,1,1,0,0,0,2
PROX1,0,0,0,0,2,0,0,0,0,2
CAPN9,0,0,0,0,2,0,0,0,0,2
CASQ1,0,0,0,0,2,0,0,0,0,2
CASZ1,0,0,0,0,2,0,0,0,0,2
CATSPERB,0,0,0,0,1,0,0,1,0,2
PRR5L,0,0,0,0,2,0,0,0,0,2
PRSS35,0,0,0,0,2,0,0,0,0,2
PSD2,0,0,0,0,2,0,0,0,0,2
PTCHD4,0,0,0,0,2,0,0,0,0,2
PTPRH,0,0,0,0,1,1,0,0,0,2
CCDC151,0,0,0,0,1,1,0,0,0,2
CCDC166,0,0,0,0,2,0,0,0,0,2
PRAM1,0,0,0,0,2,0,0,0,0,2
SARDH,0,0,0,0,2,0,0,0,0,2
C2CD4C,0,0,0,0,2,0,0,0,0,2
C5,0,0,0,0,1,0,0,1,0,2
C6,0,0,0,0,2,0,0,0,0,2
C6orf222,0,0,0,0,2,0,0,0,0,2
C7,0,0,0,0,2,0,0,0,0,2
SCN11A,0,0,0,0,2,0,0,0,0,2
SCN3A,0,0,0,0,2,0,0,0,0,2
SCNN1D,0,0,0,0,2,0,0,0,0,2
SCT,0,0,0,0,2,0,0,0,0,2
TRPC3,0,0,0,0,2,0,0,0,0,2
AMPH,0,0,0,0,2,0,0,0,0,2
ANGPT1,0,0,0,0,2,0,0,0,0,2
CD207,0,0,0,0,2,0,0,0,0,2
PLCD3,0,0,0,0,2,0,0,0,0,2
PLCH1,0,0,0,0,2,0,0,0,0,2
PLD4,0,0,0,0,2,0,0,0,0,2
PLEKHG1,0,0,0,0,2,0,0,0,0,2
PNMA2,0,0,0,0,2,0,0,0,0,2
PNMA5,0,0,0,0,2,0,0,0,0,2
PNPLA3,0,0,0,0,2,0,0,0,0,2
POU2AF3,0,0,0,0,2,0,0,0,0,2
POU2F1,0,0,0,0,2,0,0,0,0,2
CCDC62,0,0,0,0,2,0,0,0,0,2
CCDC87,0,0,0,0,2,0,0,0,0,2
PPFIA2,0,0,0,0,2,0,0,0,0,2
PPP1R3F,0,0,0,0,2,0,0,0,0,2
CCDC129,0,0,0,0,2,0,0,0,0,2
CCDC147,0,0,0,0,1,1,0,0,0,2
PELI2,0,0,0,0,2,0,0,0,0,2
PEX5L,0,0,0,0,1,1,0,0,0,2
PGAP1,0,0,0,0,2,0,0,0,0,2
PGLYRP2,0,0,0,0,2,0,0,0,0,2
PGR,0,0,0,0,2,0,0,0,0,2
PIK3C2G,0,0,0,0,2,0,0,0,0,2
CD5L,0,0,0,0,2,0,0,0,0,2
CDC7,0,0,0,0,2,0,0,0,0,2
PIWIL2,1,0,0,0,1,0,0,0,0,2
PLA2G3,0,0,0,0,2,0,0,0,0,2
PLA2G4A,0,0,0,0,2,0,0,0,0,2
PLA2G4E,0,0,0,0,1,1,0,0,0,2
PLA2G4F,0,0,0,0,2,0,0,0,0,2
CCSER1,0,0,0,0,1,1,0,0,0,2
CD19,0,0,0,0,2,0,0,0,0,2
CD1C,0,0,0,0,2,0,0,0,0,2
CDHR5,0,1,0,0,0,1,0,0,0,2
PDE1A,0,0,0,0,2,0,0,0,0,2
PDIA2,0,0,0,0,1,0,0,1,0,2
PDZD4,0,0,0,0,2,0,0,0,0,2
PDZRN3,0,0,0,0,2,0,0,0,0,2
SDK1,0,0,0,0,2,0,0,0,0,2
SDK2,0,0,0,0,2,0,0,0,0,2
SELE,0,0,0,0,2,0,0,0,0,2
SEMA6C,0,0,0,0,2,0,0,0,0,2
SEMA6D,0,0,0,0,2,0,0,0,0,2
C1QTNF7,0,0,0,0,2,0,0,0,0,2
C1orf106,0,0,0,0,2,0,0,0,0,2
SEZ6L,0,0,0,0,2,0,0,0,0,2
SEZ6L2,0,0,0,0,1,0,0,1,0,2
SH3TC2,0,0,0,0,2,0,0,0,0,2
SHANK2,0,0,0,0,2,0,0,0,0,2
TXNDC2,0,0,0,0,2,0,0,0,0,2
UBQLNL,0,0,0,0,2,0,0,0,0,2
AMER1,0,0,0,0,2,0,0,0,0,2
UGT3A1,0,0,0,0,2,0,0,0,0,2
UGT8,0,0,0,0,2,0,0,0,0,2
UNC45B,0,0,0,0,2,0,0,0,0,2
UNC5C,0,0,0,0,2,0,0,0,0,2
PCDHB3,0,0,0,0,2,0,0,0,0,2
PCDHB4,0,0,0,0,2,0,0,0,0,2
PCDHB5,0,0,0,0,2,0,0,0,0,2
PCDHB7,0,0,0,0,2,0,0,0,0,2
PCK1,0,0,0,0,2,0,0,0,0,2
CDH23,0,0,0,0,2,0,0,0,0,2
CDH6,0,0,0,0,2,0,0,0,0,2
CDHR2,0,0,0,0,1,1,0,0,0,2
CDHR3,0,0,0,0,2,0,0,0,0,2
SLC10A5,0,0,0,0,2,0,0,0,0,2
SLC22A16,0,0,0,0,2,0,0,0,0,2
SLC26A9,0,0,0,0,2,0,0,0,0,2
SLC28A3,0,0,0,0,2,0,0,0,0,2
PCDH1,0,0,0,0,2,0,0,0,0,2
PCDH15,0,0,0,0,2,0,0,0,0,2
PCDH17,0,0,0,0,2,0,0,0,0,2
PCDHA13,0,0,0,0,2,0,0,0,0,2
PCDHB1,0,0,0,0,1,1,0,0,0,2
CDX1,0,0,0,0,2,0,0,0,0,2
